State,City,Population,Violent crime,Murder and non-negligent man-slaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,
,Winter Springs,"32,515",77,0,4,8,65,534,124,386,24,3,,,,,,
,Zephyrhills,"11,811",30,0,0,6,24,765,140,550,75,0,,,,,,
GEORGIA,Albany,"77,471",523,5,51,217,250,"5,300","1,576","3,375",349,14,,,,,,
,Alpharetta,"35,724",79,1,4,20,54,"1,228",145,"1,002",81,,,,,,,
,Athens-Clarke County,"104,361",467,5,49,166,247,"5,989","1,199","4,432",358,42,,,,,,
,Atlanta,"430,066","7,922",112,267,"3,116","4,427","33,185","6,726","20,703","5,756",207,,,,,,
,College Park,"19,255",271,3,13,129,126,"1,854",534,"1,006",314,9,,,,,,
,Columbus,"188,261",904,25,30,395,454,"12,521","2,297","8,740","1,484",69,,,,,,
,Conyers,"12,234",134,0,9,43,82,"1,081",141,812,128,1,,,,,,
,Cordele,"11,692",79,0,6,25,48,"1,015",160,836,19,1,,,,,,
,Covington,"13,371",59,0,3,11,45,738,131,555,52,0,,,,,,
,Dalton,"30,846",186,3,6,32,145,"2,046",263,"1,653",130,,,,,,,
,Decatur,"18,156",70,0,8,33,29,749,167,474,108,,,,,,,
,Doraville,"10,196",60,0,3,21,36,479,94,335,50,,,,,,,
,Douglas,"10,932",108,1,7,19,81,"1,749",269,"1,397",83,2,,,,,,
,Douglasville,"25,729",184,1,16,41,126,"2,359",284,"1,914",161,,,,,,,
,East Point,"37,840",338,5,12,180,141,"2,602",668,"1,497",437,11,,,,,,
,Fayetteville,"13,679",16,1,2,8,5,623,47,539,37,,,,,,,
,Forest Park,"21,601",178,0,8,112,58,"1,869",277,"1,162",430,0,,,,,,
,Gainesville,"30,303",163,4,12,45,102,"2,336",285,"1,861",190,3,,,,,,
,Griffin,"23,851",187,1,11,44,131,"1,328",258,971,99,,,,,,,
,Hinesville,"29,886",169,1,13,50,105,"2,008",401,"1,527",80,,,,,,,
,Kennesaw,"26,246",24,1,2,9,12,553,86,422,45,,,,,,,
,Kingsland,"11,248",64,2,5,5,52,501,102,378,21,,,,,,,
,LaGrange,"27,019",190,1,24,59,106,"2,303",369,"1,757",177,,,,,,,
,Lawrenceville,"27,143",81,0,5,38,38,"1,053",227,715,111,4,,,,,,
,Macon,"96,854",690,16,54,253,367,"9,484","2,003","6,455","1,026",50,,,,,,
,Marietta,"62,303",307,5,14,157,131,"2,413",472,"1,581",360,,,,,,,
,McDonough,"11,916",133,1,1,7,124,926,129,725,72,0,,,,,,
,Moultrie,"14,742",157,2,13,53,89,"1,439",342,"1,016",81,2,,,,,,
,Newnan,"20,893",91,2,5,29,55,"1,082",153,847,82,1,,,,,,
,Peachtree City,"33,560",14,0,2,1,11,332,22,255,55,1,,,,,,
,Perry,"10,742",56,0,8,8,40,406,57,314,35,0,,,,,,
,Riverdale,"15,128",118,4,12,54,48,"1,148",192,805,151,0,,,,,,
,Rome,"35,891",294,2,16,80,196,"2,466",553,"1,792",121,10,,,,,,
,Roswell,"79,532",157,4,13,77,63,"2,185",430,"1,552",203,9,,,,,,
,Savannah,"129,698","1,105",23,66,656,360,"9,283","2,003","6,032","1,248",39,,,,,,
,Smyrna,"46,370",210,2,17,118,73,"2,108",404,"1,405",299,3,,,,,,
,Snellville,"18,260",23,0,0,16,7,757,102,613,42,1,,,,,,
,Statesboro,"24,140",72,0,6,29,37,"1,033",185,805,43,3,,,,,,
,Suwanee,"10,738",22,0,3,8,11,374,75,265,34,2,,,,,,
,Thomasville,"18,537",74,0,5,20,49,"1,244",257,918,69,5,,,,,,
,Valdosta,"45,810",288,3,41,95,149,"3,020",518,"2,349",153,1,,,,,,
,Vidalia,"10,802",77,2,3,24,48,671,155,485,31,5,,,,,,
,Warner Robins,"55,168",265,4,29,73,159,"3,462",804,"2,490",168,12,,,,,,
,Waycross,"15,408",86,2,2,34,48,"1,217",205,966,46,8,,,,,,
,Winder,"11,848",143,0,5,11,127,697,111,470,116,4,,,,,,
HAWAII,Honolulu,"906,589","2,507",26,222,818,"1,441","44,121","7,240","29,512","7,369",427,,,,,,
IDAHO,Blackfoot,"10,856",20,0,3,0,17,471,79,370,22,0,,,,,,
,Boise,"193,864",745,0,125,80,540,"7,293","1,232","5,532",529,70,,,,,,
,Caldwell,"31,653",159,3,17,20,119,"1,972",384,"1,378",210,9,,,,,,
,Chubbuck,"10,351",44,0,2,1,41,575,89,468,18,1,,,,,,
,Coeur d'Alene,"37,996",171,0,30,11,130,"2,096",400,"1,566",130,33,,,,,,
,Garden City,"11,301",91,0,11,7,73,578,104,412,62,9,,,,,,
,Idaho Falls,"52,522",142,2,27,9,104,"2,025",291,"1,630",104,7,,,,,,
,Lewiston,"31,547",32,1,5,4,22,"1,364",211,"1,082",71,9,,,,,,
,Meridian,"41,938",95,0,23,5,67,"1,264",190,"1,004",70,15,,,,,,
,Moscow,"22,135",21,1,3,2,15,610,60,531,19,2,,,,,,
,Mountain Home,"11,600",25,0,8,1,16,464,80,350,34,2,,,,,,
,Nampa,"65,536",284,8,89,23,164,"2,639",461,"1,875",303,23,,,,,,
,Pocatello,"52,014",148,1,15,14,118,"2,061",267,"1,695",99,6,,,,,,
,Post Falls,"20,378",37,0,5,3,29,767,168,556,43,9,,,,,,
,Rexburg,"22,293",3,0,1,0,2,220,20,192,8,1,,,,,,
,Twin Falls,"37,466",157,0,17,19,121,"2,345",467,"1,719",159,22,,,,,,
ILLINOIS,Aurora,"162,954",,17,,153,488,"5,094",882,"3,885",327,37,,,,,,
,Chicago,"2,882,746",,448,,"15,912","18,746","140,602","24,428","93,375","22,799",782,,,,,,
,Joliet,"124,157",,9,,167,345,"4,004",824,"2,973",207,62,,,,,,
,Naperville,"138,549",,0,,21,92,"2,288",317,"1,888",83,6,,,,,,
,Peoria,"113,443",,14,,343,523,"6,928","1,760","4,508",660,100,,,,,,
,Rockford,"152,446",,8,,509,714,"10,818","2,607","7,112","1,099",,,,,,,
,Springfield,"114,125",,10,,285,"1,309","8,133","1,831","5,898",404,49,,,,,,
INDIANA,Anderson,"58,789",149,5,27,59,58,"2,087",447,"1,524",116,,,,,,,
,Auburn,"12,582",17,0,2,7,8,399,92,284,23,1,,,,,,
,Bedford,"13,560",13,0,2,4,7,526,81,414,31,2,,,,,,
,Beech Grove,"14,555",19,0,4,8,7,451,98,313,40,0,,,,,,
,Bloomington,"71,120",143,0,28,39,76,"2,495",480,"1,898",117,10,,,,,,
,Brownsburg,"17,071",13,0,1,7,5,354,63,274,17,1,,,,,,
,Carmel,"43,375",18,1,5,10,2,937,96,798,43,4,,,,,,
,Chesterton,"11,214",16,0,1,1,14,364,70,274,20,2,,,,,,
,Clarksville,"21,381",53,0,11,25,17,"1,634",171,"1,293",170,4,,,,,,
,Columbus,"39,322",87,0,9,12,66,"2,398",206,"2,104",88,7,,,,,,
,Connersville,"14,944",32,0,4,6,22,"1,078",158,875,45,1,,,,,,
,Crawfordsville,"15,304",11,0,0,4,7,752,116,622,14,0,,,,,,
,Crown Point,"21,122",11,0,0,2,9,419,60,319,40,1,,,,,,
,Dyer,"14,769",14,0,2,5,7,255,36,197,22,1,,,,,,
,East Chicago,"31,578",696,14,5,92,585,"1,854",334,"1,118",402,7,,,,,,
,Elkhart,"52,032",205,1,34,161,9,"4,240",934,"3,036",270,33,,,,,,
,Evansville3,"118,679",460,0,34,172,254,"5,868","1,159","4,438",271,72,,,,,,
,Fishers,"48,113",8,0,2,4,2,605,60,527,18,0,,,,,,
,Fort Wayne,"220,980",657,22,96,305,234,"10,863","2,073","7,989",801,97,,,,,,
,Frankfort,"16,590",27,0,6,9,12,"1,063",183,838,42,3,,,,,,
,Franklin,"20,974",63,0,5,7,51,"1,155",75,"1,074",6,0,,,,,,
,Gary,"100,637",677,54,68,346,209,"5,117","1,500","2,398","1,219",,,,,,,
,Goshen,"29,989",73,0,0,2,71,"1,397",148,"1,204",45,1,,,,,,
,Greenfield,"15,827",15,0,5,4,6,371,61,293,17,3,,,,,,
,Greensburg,"10,431",9,0,1,1,7,360,59,292,9,3,,,,,,
,Greenwood,"39,813",195,0,15,17,163,"1,985",159,"1,739",87,6,,,,,,
,Griffith,"17,076",26,1,2,3,20,643,81,476,86,4,,,,,,
,Hammond,"81,092",877,10,32,295,540,"4,647",998,"2,850",799,68,,,,,,
,Highland,"23,603",35,0,2,20,13,987,116,814,57,2,,,,,,
,Indianapolis,"800,589","7,067",109,479,"2,763","3,716","46,998","10,920","28,364","7,714",441,,,,,,
,Jasper,"13,294",8,0,1,3,4,267,34,223,10,1,,,,,,
,Jeffersonville,"28,215",85,1,18,36,30,"1,301",284,841,176,0,,,,,,
,Kokomo,"46,466",195,5,23,47,120,"2,840",461,"2,227",152,13,,,,,,
,Lafayette,"61,643",231,4,15,60,152,"3,236",719,"2,358",159,15,,,,,,
,La Porte,"21,210",47,2,3,16,26,"1,139",135,952,52,2,,,,,,
,Lawrence,"41,071",171,0,7,76,88,"1,122",241,703,178,5,,,,,,
,Logansport,"19,444",20,0,5,4,11,786,108,638,40,5,,,,,,
,Madison,"12,332",27,0,12,1,14,436,136,272,28,0,,,,,,
,Marion,"30,816",119,0,18,62,39,"1,862",370,"1,406",86,13,,,,,,
,Martinsville,"11,693",34,0,2,6,26,874,74,762,38,2,,,,,,
,Merrillville,"31,200",62,0,2,24,36,"1,083",93,824,166,1,,,,,,
,Michigan City,"32,554",122,3,14,51,54,"1,853",229,"1,472",152,32,,,,,,
,Mishawaka,"48,723",374,0,20,58,296,"3,554",333,"3,060",161,36,,,,,,
,Mooresville,"10,653",8,0,2,2,4,335,34,282,19,0,,,,,,
,Muncie,"66,971",337,7,116,82,132,"3,051",533,"2,343",175,51,,,,,,
,Munster,"22,285",44,1,0,13,30,493,33,436,24,0,,,,,,
,New Albany,"37,223",202,5,15,80,102,"2,461",481,"1,806",174,42,,,,,,
,New Castle,"19,083",21,1,7,4,9,"1,740",300,"1,373",67,1,,,,,,
,Noblesville,"33,270",27,0,8,5,14,725,133,560,32,3,,,,,,
,Plainfield,"21,531",30,1,4,12,13,"1,053",138,845,70,2,,,,,,
,Plymouth,"10,679",8,0,2,2,4,475,33,415,27,1,,,,,,
,Portage,"35,151",58,0,6,15,37,"1,207",178,947,82,9,,,,,,
,Richmond,"38,460",179,1,19,57,102,"1,707",374,"1,171",162,66,,,,,,
,Schererville,"26,319",21,0,2,10,9,631,53,531,47,0,,,,,,
,Seymour,"18,625",99,0,9,2,88,"1,168",102,997,69,5,,,,,,
,South Bend,"106,254",762,10,71,344,337,"6,569","1,555","4,475",539,62,,,,,,
,Speedway,"12,880",60,1,8,37,14,522,91,372,59,0,,,,,,
,Terre Haute,"58,489",336,0,26,104,206,"5,217",949,"3,824",444,31,,,,,,
,Valparaiso,"28,557",78,0,2,5,71,953,81,839,33,1,,,,,,
,Vincennes,"18,444",31,1,10,5,15,"1,594",379,"1,149",66,6,,,,,,
,Wabash,"11,457",5,0,0,3,2,209,48,143,18,3,,,,,,
,Warsaw,"12,774",29,0,8,3,18,544,91,435,18,1,,,,,,
,West Lafayette,"30,037",27,0,2,9,16,489,72,402,15,2,,,,,,
IOWA,Altoona,"11,389",11,0,1,4,6,479,42,420,17,1,,,,,,
,Ames,"53,472",129,0,22,13,94,"1,582",389,"1,112",81,2,,,,,,
,Ankeny,"31,254",34,0,5,4,25,868,266,565,37,10,,,,,,
,Bettendorf,"31,567",102,0,2,9,91,771,124,616,31,24,,,,,,
,Boone,"12,852",9,0,0,1,8,283,40,224,19,2,,,,,,
,Burlington,"26,058",169,2,11,22,134,"1,097",267,793,37,5,,,,,,
,Carroll,"10,021",7,0,0,2,5,176,27,138,11,1,,,,,,
,Cedar Falls,"36,558",94,0,10,2,82,857,149,684,24,2,,,,,,
,Cedar Rapids,"122,974",371,0,41,83,247,"6,684","1,348","5,020",316,24,,,,,,
,Clive,"13,719",28,1,1,2,24,399,49,327,23,2,,,,,,
,Coralville,"16,837",29,0,8,10,11,738,68,647,23,8,,,,,,
,Council Bluffs,"58,863",567,2,88,68,409,"5,228","1,014","3,463",751,44,,,,,,
,Davenport,"97,856","1,335",6,53,279,997,"7,429","1,527","5,446",456,38,,,,,,
,Dubuque,"57,406",240,1,7,10,222,"1,929",432,"1,381",116,29,,,,,,
,Fort Dodge,"26,008",165,2,14,27,122,"1,871",438,"1,329",104,15,,,,,,
,Fort Madison,"10,988",14,0,3,1,10,327,42,258,27,1,,,,,,
,Indianola,"13,252",32,0,0,0,32,235,30,193,12,8,,,,,,
,Iowa City,"64,032",213,3,22,46,142,"1,847",419,"1,370",58,12,,,,,,
,Johnston,"10,880",12,2,0,0,10,238,22,198,18,0,,,,,,
,Keokuk,"10,957",142,0,2,1,139,414,89,304,21,4,,,,,,
,Marion,"28,857",36,0,7,1,28,550,192,339,19,11,,,,,,
,Marshalltown,"25,951",173,0,3,15,155,"1,193",266,875,52,2,,,,,,
,Mason City,"28,374",57,0,9,9,39,"1,627",250,"1,339",38,2,,,,,,
,Muscatine,"22,694",137,1,22,3,111,737,142,566,29,7,,,,,,
,Newton,"15,850",11,0,0,1,10,589,223,347,19,2,,,,,,
,Oskaloosa,"11,076",20,0,4,3,13,479,104,360,15,9,,,,,,
,Ottumwa,"24,784",194,0,13,6,175,"1,277",255,959,63,10,,,,,,
,Pella,"10,143",27,0,3,1,23,180,43,132,5,5,,,,,,
,Sioux City,"84,172",403,2,45,44,312,"4,170",921,"2,988",261,23,,,,,,
,Spencer,"11,259",0,0,0,0,0,321,55,248,18,1,,,,,,
,Storm Lake,"10,008",19,0,4,2,13,314,40,254,20,3,,,,,,
,Urbandale,"31,980",72,2,7,9,54,737,173,522,42,7,,,,,,
,Waterloo,"67,291",324,3,41,64,216,"3,300",856,"2,238",206,49,,,,,,
,West Des Moines,"51,881",89,0,18,8,63,"1,621",270,"1,287",64,12,,,,,,
KANSAS,Arkansas City,"11,840",61,0,5,4,52,599,107,462,30,4,,,,,,
,Atchison,"10,156",36,0,5,8,23,399,80,296,23,4,,,,,,
,Coffeyville,"10,518",69,0,2,16,51,764,202,531,31,8,,,,,,
,Derby,"19,285",39,1,9,3,26,931,476,432,23,2,,,,,,
,Dodge City,"25,681",139,1,20,22,96,"1,529",246,"1,195",88,11,,,,,,
,El Dorado,"12,742",49,0,3,4,42,738,110,596,32,3,,,,,,
,Emporia,"26,783",61,2,15,9,35,"1,402",236,"1,104",62,8,,,,,,
,Garden City,"27,336",122,2,14,14,92,"1,361",207,"1,099",55,15,,,,,,
,Gardner,"11,721",59,1,7,1,50,340,57,267,16,5,,,,,,
,Hays,"20,003",40,2,2,5,31,647,81,546,20,11,,,,,,
,Hutchinson,"40,963",222,0,38,24,160,"2,609",524,"2,029",56,26,,,,,,
,Junction City,"17,745",167,0,11,16,140,"1,053",161,845,47,13,,,,,,
,Kansas City,"146,399","1,014",37,107,349,521,"13,068","1,820","9,023","2,225", ,,,,,,
,Lansing,"10,076",32,0,2,3,27,248,45,182,21,1,,,,,,
,Lawrence,"82,482",367,2,47,64,254,"4,213",664,"3,329",220,19,,,,,,
,Leavenworth,"35,366",206,0,19,43,144,"1,460",249,"1,129",82,16,,,,,,
,Liberal,"20,155",89,3,10,12,64,"1,229",254,918,57,13,,,,,,
,McPherson,"13,791",18,0,8,1,9,319,88,221,10,1,,,,,,
,Merriam,"10,883",41,0,8,10,23,817,79,624,114,1,,,,,,
,Newton,"18,056",68,0,8,4,56,639,93,526,20,9,,,,,,
,Olathe,"105,738",314,0,43,40,231,"2,551",276,"1,957",318,,,,,,,
,Ottawa,"12,084",40,0,12,0,28,754,99,631,24,5,,,,,,
,Overland Park,"161,074",330,2,41,59,228,"4,706",521,"3,780",405,,,,,,,
,Parsons,"11,346",57,0,0,4,53,532,128,391,13,6,,,,,,
,Pittsburg,"19,361",111,0,15,16,80,"1,519",268,"1,174",77,9,,,,,,
,Prairie Village,"21,825",14,0,4,3,7,260,41,199,20,4,,,,,,
,Salina,"46,035",170,1,40,11,118,"2,723",334,"2,275",114,32,,,,,,
,Shawnee,"54,331",119,1,16,24,78,"1,344",165,"1,050",129,12,,,,,,
,Topeka,"122,545",636,8,50,246,332,"9,043","1,401","6,983",659,10,,,,,,
,Wichita,"356,179","2,878",29,233,626,"1,990","21,604","3,930","15,901","1,773",142,,,,,,
,Winfield,"12,069",40,0,11,1,28,492,87,394,11,1,,,,,,
KENTUCKY,Ashland,"21,638",101,0,8,16,77,"1,218",197,979,42,6,,,,,,
,Bowling Green,"51,009",289,1,33,74,181,"2,949",555,"2,266",128,2,,,,,,
,Danville,"15,398",23,0,3,7,13,548,138,377,33,,,,,,,
,Elizabethtown,"23,398",61,2,6,19,34,"1,300",192,"1,061",47,,,,,,,
,Erlanger,"16,941",18,0,1,8,9,351,67,260,24,,,,,,,
,Florence,"24,857",91,0,5,30,56,"1,531",160,"1,278",93,8,,,,,,
,Frankfort,"27,595",83,1,11,15,56,"1,153",239,849,65,,,,,,,
,Georgetown,"19,571",38,0,6,7,25,887,126,726,35,,,,,,,
,Glasgow,"13,707",13,0,1,3,9,318,101,193,24,,,,,,,
,Hopkinsville,"28,874",119,1,15,56,47,"1,693",412,"1,222",59,12,,,,,,
,Independence,"17,186",16,0,3,4,9,303,52,227,24,,,,,,,
,Jeffersontown,"26,511",35,0,5,22,8,466,64,343,59,,,,,,,
,Lexington,"268,618","1,306",24,140,574,568,"10,204","2,224","7,207",773,30,,,,,,
,Louisville Metro,"624,697","3,280",66,216,"1,476","1,522","26,182","6,869","16,291","3,022",,,,,,,
,Madisonville,"19,453",71,0,12,7,52,"1,038",154,807,77,0,,,,,,
,Mayfield,"10,298",39,2,3,15,19,237,83,132,22,,,,,,,
,Murray,"15,415",25,0,7,4,14,596,114,447,35,3,,,,,,
,Owensboro,"54,683",142,0,12,39,91,"2,356",484,"1,766",106,4,,,,,,
,Paducah,"25,739",250,9,28,64,149,"1,838",261,"1,437",140,8,,,,,,
,Radcliff,"22,043",86,0,19,24,43,668,173,472,23,3,,,,,,
,Richmond,"29,278",53,0,7,14,32,"1,264",216,977,71,3,,,,,,
,Shively,"15,448",68,0,4,53,11,807,208,454,145,,,,,,,
,Somerset,"11,866",25,0,3,8,14,735,106,590,39,,,,,,,
,St. Matthews,"17,560",81,0,2,20,59,741,114,597,30,,,,,,,
,Winchester,"16,490",44,0,2,18,24,838,159,624,55,,,,,,,
LOUISIANA,Alexandria,"45,846",896,3,17,188,688,"3,712",925,"2,576",211,10,,,,,,
,Baker,"13,611",57,0,3,17,37,661,154,468,39,3,,,,,,
,Baton Rouge,"226,063","2,444",47,79,906,"1,412","15,420","4,036","9,822","1,562",179,,,,,,
,Bogalusa,"13,005",123,1,8,23,91,937,306,559,72,5,,,,,,
,Bossier City,"58,362",,3,31,62,,"3,069",544,"2,220",305,11,,,,,,
,Crowley,"14,000",79,0,3,9,67,580,151,411,18,0,,,,,,
,Eunice,"11,636",18,1,1,6,10,645,261,344,40,1,,,,,,
,Gretna,"17,254",171,2,25,54,90,782,196,483,103,3,,,,,,
,Houma,"32,163",453,5,26,76,346,"1,964",314,"1,542",108,13,,,,,,
,Jennings,"10,758",77,2,7,12,56,467,116,320,31,2,,,,,,
,Kenner,"70,505",310,6,23,80,201,"2,988",455,"2,166",367,13,,,,,,
,Lafayette,"112,150","1,020",6,86,163,765,"7,283","1,332","5,546",405,28,,,,,,
,Lake Charles,"71,041",552,7,55,130,360,"4,015","1,635","2,195",185,18,,,,,,
,Mandeville,"11,526",50,0,6,3,41,577,87,478,12,3,,,,,,
,Minden,"13,371",71,1,0,9,61,325,81,221,23,0,,,,,,
,Monroe,"52,388",896,5,30,120,741,"5,143",978,"3,909",256,29,,,,,,
,Morgan City,"12,335",89,0,6,21,62,546,84,433,29,0,,,,,,
,Natchitoches,"18,191",183,1,4,26,152,"1,432",512,878,42,8,,,, ,,
,New Orleans,"471,057","4,467",264,189,"1,836","2,178","24,316","5,238","12,544","6,534",167,,,,,,
,Pineville,"13,918",25,0,2,1,22,711,125,551,35,0,,,,,,
,Ruston,"20,723",90,2,2,24,62,809,170,603,36,0,,,,,,
,Shreveport,"199,221","2,178",33,135,690,"1,320","14,615","3,307","9,862","1,446",169,,,,,,
,Slidell,"27,063",203,1,17,44,141,"2,109",205,"1,768",136,2,,,,,,
,Thibodaux,"14,526",100,2,15,18,65,768,135,605,28,1,,,,,,
,West Monroe,"13,074",108,0,4,17,87,"1,069",145,874,50,2,,,,,,
,Westwego,"10,572",42,0,3,11,28,296,61,217,18,0,,,,,,
,Zachary,"11,842",18,0,3,7,8,309,46,243,20,2,,,,,,
MAINE,Auburn,"23,519",10,0,2,4,4,692,102,559,31,1,,,,,,
,Augusta,"18,782",37,0,8,13,16,"1,048",154,871,23,15,,,,,,
,Bangor,"31,828",45,0,8,22,15,"1,731",248,"1,432",51,2,,,,,,
,Biddeford,"21,876",52,0,11,9,32,803,105,671,27,8,,,,,,
,Brunswick,"21,719",16,0,6,4,6,470,72,378,20,9,,,,,,
,Falmouth,"10,675",2,0,1,0,1,158,22,127,9,0,,,,,,
,Gorham,"15,146",15,0,4,4,7,210,54,146,10,2,,,,,,
,Kennebunk,"11,362",8,0,1,1,6,165,23,138,4,0,,,,,,
,Kittery,"10,273",1,0,0,1,0,157,25,127,5,0,,,,,,
,Lewiston,"36,239",81,2,19,27,33,"1,362",263,"1,048",51,3,,,,,,
,Portland,"64,197",254,2,35,94,123,"3,011",523,"2,332",156,16,,,,,,
,Saco,"18,034",23,0,7,8,8,511,88,388,35,3,,,,,,
,Sanford,"21,857",41,0,20,12,9,645,117,505,23,6,,,,,,
,Scarborough,"18,622",14,0,2,2,10,285,42,222,21,0,,,,,,
,South Portland,"23,761",30,0,9,6,15,"1,090",90,959,41,1,,,,,,
,Waterville,"15,897",14,0,5,2,7,637,97,512,28,5,,,,,,
,Westbrook,"16,193",32,0,5,5,22,432,77,326,29,3,,,,,,
,Windham,"15,584",3,0,0,0,3,414,102,299,13,2,,,,,,
,York,"13,508",8,0,3,0,5,166,21,141,4,1,,,,,,
MARYLAND,Aberdeen,"14,311",99,0,4,39,56,812,122,639,51,3,,,,,,
,Annapolis,"36,501",437,3,13,167,254,"1,858",316,"1,290",252,26,,,,,,
,Baltimore,"634,279","11,667",276,182,"4,050","7,159","36,059","7,981","21,366","6,712",430,,,,,,
,Bel Air,"10,037",87,0,1,26,60,509,35,450,24,5,,,,,,
,Cambridge,"10,877",90,1,4,12,73,731,148,548,35,9,,,,,,
,Cumberland,"21,019",212,0,17,22,173,"1,073",240,808,25,13,,,,,,
,Easton,"12,615",103,0,5,23,75,570,93,468,9,7,,,,,,
,Elkton,"13,707",103,0,6,24,73,877,151,663,63,10,,,,,,
,Frederick,"56,629",600,0,21,144,435,"1,737",254,"1,388",95,17,,,,,,
,Greenbelt,"22,293",171,3,9,105,54,"1,342",151,799,392,0,,,,,,
,Hagerstown,"37,283",253,3,4,63,183,"1,513",341,"1,047",125,43,,,,,,
,Havre de Grace,"11,500",82,1,1,18,62,465,82,359,24,5,,,,,,
,Hyattsville,"15,296",94,0,1,64,29,817,111,497,209,0,,,,,,
,Laurel,"20,837",201,0,3,100,98,"1,046",145,659,242,0,,,,,,
,Ocean Pines,"11,015",10,0,2,2,6,115,19,87,9,0,,,,,,
,Salisbury,"25,472",476,3,21,148,304,"2,257",497,"1,654",106,14,,,,,,
,Takoma Park,"17,875",89,0,2,58,29,697,133,410,154,0,,,,,,
,Westminster,"17,558",78,0,0,12,66,698,75,592,31,9,,,,,,
MASSACHUSETTS,Abington,"16,010",53,0,4,14,35,270,96,145,29,1,,,,,,
,Acton,"20,747",4,0,1,3,0,256,41,207,8,5,,,,,,
,Acushnet,"10,566",24,0,0,2,22,153,69,78,6,2,,,,,,
,Agawam,"28,453",60,0,6,7,47,633,267,310,56,1,,,,,,
,Amesbury,"16,674",57,0,4,2,51,199,44,140,15,1,,,,,,
,Amherst,"34,476",56,1,10,5,40,393,197,160,36,4,,,,,,
,Andover,"31,849",9,0,2,1,6,373,47,309,17,2,,,,,,
,Arlington,"41,793",52,0,5,17,30,489,153,316,20,3,,,,,,
,Ashland,"15,433",23,0,5,0,18,57,15,38,4,2,,,,,,
,Attleboro,"43,388",146,0,11,16,119,949,185,662,102,5,,,,,,
,Auburn,"16,381",,1,3,8,,593,112,442,39,1,,,,,,
,Barnstable,"48,777",285,1,25,28,231,"1,291",464,718,109,13,,,,,,
,Bedford,"12,550",1,0,0,1,0,58,5,53,0,0,,,,,,
,Belchertown,"13,769",33,0,4,0,29,179,53,110,16,3,,,,,,
,Bellingham,"15,664",14,0,0,2,12,251,64,177,10,2,,,,,,
,Belmont,"23,796",24,1,1,12,10,197,66,122,9,3,,,,,,
,Beverly,"40,149",63,0,7,12,44,620,125,466,29,0,,,,,,
,Billerica,"39,489",32,1,1,7,23,469,80,352,37,3,,,,,,
,Boston,"580,087","6,917",61,269,"2,428","4,159","27,616","4,545","17,526","5,545",,,,,,,
,Bourne,"19,472",,0,3,6,,646,286,327,33,14,,,,,,
,Braintree,"33,639",64,0,1,13,50,"1,048",135,833,80,2,,,,,,
,Brewster,"10,374",8,0,0,2,6,114,31,82,1,0,,,,,,
,Bridgewater,"25,076",24,0,2,3,19,275,53,187,35,0,,,,,,
,Brockton,"94,838",,6,52,233,,"3,898",670,"2,283",945,26,,,,,,
,Brookline,"56,493",,0,12,46,,"1,047",215,741,91,,,,,,,
,Burlington,"22,789",26,0,0,15,11,642,80,534,28,1,,,,,,
,Cambridge,"101,320",503,0,12,245,246,"3,816",724,"2,654",438,,,,,,,
,Canton,"21,360",35,0,4,4,27,230,58,145,27,2,,,,,,
,Charlton,"12,127",30,0,5,2,23,120,28,78,14,0,,,,,,
,Chelmsford,"33,868",41,0,2,3,36,541,56,440,45,1,,,,,,
,Chelsea,"34,016",587,1,27,186,373,"1,288",343,603,342,12,,,,,,
,Chicopee,"54,847",347,1,28,43,275,"1,733",427,"1,038",268,10,,,,,,
,Clinton,"13,738",7,0,0,1,6,60,28,29,3,0,,,,,,
,Concord,"16,892",17,0,1,0,16,132,12,117,3,0,,,,,,
,Danvers,"25,521",50,1,0,6,43,958,110,799,49,4,,,,,,
,Dartmouth,"31,076",82,0,6,10,66,"1,039",256,713,70,6,,,,,,
,Dedham,"23,183",32,0,2,11,19,603,40,494,69,0,,,,,,
,Dennis,"16,183",79,0,1,5,73,398,123,253,22,11,,,,,,
,Duxbury,"14,621",10,0,5,0,5,50,17,31,2,0,,,,,,
,East Bridgewater,"13,616",9,0,0,3,6,106,15,82,9,2,,,,,,
,Easthampton,"16,297",57,0,5,0,52,239,87,137,15,1,,,,,,
,East Longmeadow,"14,665",33,0,0,7,26,383,75,290,18,4,,,,,,
,Everett,"37,441",158,0,10,69,79,"1,188",217,717,254,1,,,,,,
,Fairhaven,"16,330",99,0,3,15,81,492,155,306,31,2,,,,,,
,Fall River,"92,516","1,113",1,81,229,802,"3,362","1,334","1,492",536,,,,,,,
,Falmouth,"33,734",,1,10,8,,"1,018",349,614,55,2,,,,,,
,Foxborough,"16,339",55,0,13,5,37,152,41,98,13,,,,,,,
,Framingham,"66,069",159,0,10,42,107,"1,612",344,"1,005",263,,,,,,,
,Franklin,"30,096",19,0,2,8,9,163,51,104,8,0,,,,,,
,Gardner,"20,994",122,0,11,15,96,538,193,301,44,4,,,,,,
,Gloucester,"30,649",48,0,9,5,34,674,119,525,30,1,,,,,,
,Greenfield,"18,067",,1,11,11,,548,219,277,52,5,,,,,,
,Groton,"10,183",7,0,1,0,6,68,10,50,8,1,,,,,,
,Haverhill,"60,167",294,1,27,54,212,"1,497",679,612,206,,,,,,,
