State,City by state,Population,Crime Index  ,Modified Crime Index1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,
,Tampa,"317,322","35,380","35,514",37,204,"2,334","3,714","6,283","16,088","6,720",134,,,,,
,Tarpon Springs,"21,964",912,917,2,12,21,115,166,549,47,5,,,,,
,Tavares,"10,143",249,249,0,5,1,24,51,143,25,0,,,,,
,Temple Terrace,"21,875",870,873,3,12,34,46,156,522,97,3,,,,,
,Titusville,"42,530","2,146","2,154",2,22,95,245,550,"1,043",189,8,,,,,
,Venice,"18,577",452,453,0,3,7,24,62,334,22,1,,,,,
,Vero Beach,"18,514",946,947,1,10,18,62,207,616,32,1,,,,,
,Village of Pinecrest,"19,926",894,895,1,1,12,36,133,660,51,1,,,,,
,Wellington,"39,964","1,743","1,747",0,12,12,109,303,"1,046",261,4,,,,,
,West Melbourne,"10,273",377,380,0,1,7,31,72,258,8,3,,,,,
,Weston,"51,540",563,567,0,3,6,41,117,333,63,4,,,,,
,West Palm Beach,"85,857","10,603","10,631",7,56,497,630,"1,729","6,525","1,159",28,,,,,
,Wilton Manors,"13,278",866,869,2,1,35,47,174,529,78,3,,,,,
,Winter Garden,"15,007",674,676,0,7,26,95,120,334,92,2,,,,,
,Winter Haven,"27,698","2,504","2,516",1,34,78,93,436,"1,654",208,12,,,,,
,Winter Park,"25,191","1,123","1,125",0,4,41,50,163,791,74,2,,,,,
,Winter Springs,"33,114",623,624,0,4,8,70,125,376,40,1,,,,,
,Zephyrhills,"11,328",689,693,0,4,17,44,160,399,65,4,,,,,
GEORGIA,Acworth,"14,035",466,466,0,1,8,15,47,360,35,0,,,,,
,Albany,"80,452","5,430","5,449",7,49,220,238,"1,297","3,319",300,19,,,,,
,Alpharetta,"36,445","1,565",,0,4,18,99,241,"1,096",107,,,,,,
,Americus,"17,790","1,594",,1,12,34,105,256,"1,141",45,,,,,,
,Athens-Clarke County,"105,007","6,693","6,728",7,53,158,223,"1,042","4,779",431,35,,,,,
,Atlanta,"435,494","49,451","49,602",152,276,"4,168","5,373","8,554","23,706","7,222",151,,,,,
,Bainbridge,"12,257",941,941,2,12,26,28,156,699,18,0,,,,,
,Calhoun,"11,154","1,072",,0,3,17,27,138,842,45,,,,,,
,Carrollton,"20,749","1,518","1,521",3,6,30,199,179,"1,007",94,3,,,,,
,Cartersville,"16,652","1,343","1,344",3,10,34,43,246,855,152,1,,,,,
,College Park,"21,313","2,091",,4,10,112,136,443,"1,086",300,,,,,,
,Columbus,"194,265","12,382","12,432",20,25,359,427,"1,937","8,595","1,019",50,,,,,
,Conyers,"11,177","1,494","1,498",2,10,43,107,156,"1,048",128,4,,,,,
,Cordele,"12,138","1,258","1,262",1,4,46,71,139,956,41,4,,,,,
,Covington,"12,074","1,008",,0,6,18,46,186,707,45,,,,,,
,Dalton,"29,186","2,111",,3,10,42,136,272,"1,530",118,,,,,,
,Decatur,"18,976",695,698,1,4,26,22,138,423,81,3,,,,,
,Doraville,"10,312",549,549,0,0,40,22,78,358,51,0,,,,,
,Douglas,"11,125","1,415","1,416",0,9,14,90,182,"1,038",82,1,,,,,
,Douglasville,"20,981","2,115","2,123",5,4,42,90,197,"1,644",133,8,,,,,
,Duluth,"23,132",430,430,0,3,10,18,84,278,37,0,,,,,
,East Point,"41,403","2,852",,8,17,159,161,785,"1,346",376,,,,,,
,Fayetteville,"11,658",612,,2,0,4,5,39,537,25,,,,,,
,Forest Park,"22,426","1,812","1,821",2,11,86,47,367,"1,067",232,9,,,,,
,Gainesville,"26,746","2,162","2,165",1,13,38,167,241,"1,575",127,3,,,,,
,Garden City,"11,804",890,896,0,7,31,138,181,429,104,6,,,,,
,Griffin,"24,522","1,777",,4,4,46,122,247,"1,232",122,,,,,,
,Hinesville,"31,780","1,812",,6,13,45,90,316,"1,277",65,,,,,,
,Kennesaw,"22,664",535,,0,2,4,19,60,426,24,,,,,,
,Kingsland,"10,985",589,589,0,13,12,70,132,337,25,0,,,,,
,LaGrange,"27,185","2,372","2,384",1,10,47,81,249,"1,893",91,12,,,,,
,Lawrenceville,"23,420",934,937,1,6,24,34,165,604,100,3,,,,,
,Macon,"101,696","10,433","10,513",16,63,240,319,"2,288","6,296","1,211",80,,,,,
,Marietta,"61,431","3,170",,1,16,158,119,554,"1,994",328,,,,,,
,Milledgeville,"19,613",883,883,0,3,16,27,141,663,33,0,,,,,
,Monroe,"11,927",737,737,3,1,17,67,114,480,55,0,,,,,
,Moultrie,"15,044","1,694","1,701",2,7,55,119,353,"1,033",125,7,,,,,
,Newnan,"16,984",960,963,1,3,25,56,128,685,62,3,,,,,
,Perry,"10,040",325,327,0,1,6,25,48,214,31,2,,,,,
,Powder Springs,"13,051",316,316,0,1,8,8,70,210,19,0,,,,,
,Riverdale,"13,048","1,204","1,205",0,4,48,59,179,760,154,1,,,,,
,Rome,"36,578","2,129","2,141",0,11,76,145,448,"1,323",126,12,,,,,
,Roswell,"82,957","2,033","2,033",1,5,48,172,380,"1,291",136,0,,,,,
,Savannah,"137,516","11,595","11,622",32,58,650,449,"1,985","6,884","1,537",27,,,,,
,Smyrna,"42,871","2,191",,0,13,89,69,422,"1,389",209,,,,,,
,Snellville,"16,052",620,620,0,2,8,5,46,530,29,0,,,,,
,Statesboro,"23,735","1,080","1,081",1,3,40,25,204,773,34,1,,,,,
,St. Marys,"14,390",603,613,0,4,16,27,94,436,26,10,,,,,
,Thomasville,"18,991","1,390","1,396",0,4,28,35,333,936,54,6,,,,,
,Tifton,"15,747","1,390","1,390",5,6,26,75,221,999,58,0,,,,,
,Union City,"12,152","1,179","1,179",0,0,33,43,182,720,201,0,,,,,
,Valdosta,"45,721","3,028",,4,30,70,158,498,"2,138",130,,,,,,
,Vidalia,"10,970",661,668,1,1,19,66,83,467,24,7,,,,,
,Warner Robins,"51,033","3,384","3,389",2,12,76,124,673,"2,329",168,5,,,,,
,Waycross,"16,034","1,236","1,241",1,9,35,38,168,934,51,5,,,,,
,Winder,"10,667",802,802,0,3,17,23,115,592,52,0,,,,,
HAWAII,Honolulu,"900,433","57,271","57,700",18,304,"1,072","1,207","8,932","37,250","8,488",429,,,,,
IDAHO,Blackfoot,"10,798",458,458,1,4,0,19,47,372,15,0,,,,,
,Boise,"192,561","8,748","8,826",6,92,84,497,"1,318","6,209",542,78,,,,,
,Caldwell,"26,913","2,169","2,178",2,24,11,97,328,"1,541",166,9,,,,,
,Chubbuck,"10,054",443,445,0,3,2,58,22,352,6,2,,,,,
,Coeur d'Alene,"35,772","2,246","2,269",1,14,13,144,317,"1,590",167,23,,,,,
,Garden City,"11,012",759,767,0,15,7,69,176,434,58,8,,,,,
,Idaho Falls,"52,580","2,209","2,221",1,16,4,128,364,"1,582",114,12,,,,,
,Lewiston,"32,031","1,286","1,293",1,6,7,34,214,970,54,7,,,,,
,Meridian,"36,192","1,211","1,227",0,6,3,22,139,"1,006",35,16,,,,,
,Moscow,"22,067",642,643,1,7,5,13,45,552,19,1,,,,,
,Mountain Home,"11,549",477,483,0,6,1,31,53,357,29,6,,,,,
,Nampa,"53,759","2,871","2,889",1,71,27,162,449,"1,912",249,18,,,,,
,Pocatello,"53,342","1,692","1,703",1,21,6,118,264,"1,208",74,11,,,,,
,Post Falls,"17,876",677,685,1,5,0,23,81,535,32,8,,,,,
,Rexburg,"17,886",287,289,0,2,1,14,20,243,7,2,,,,,
,Twin Falls,"35,725","2,292","2,303",0,20,24,145,396,"1,598",109,11,,,,,
ILLINOIS,Aurora,"145,078",,,25,,158,538,"1,017","3,979",317,40,,,,,
,Chicago,"2,938,299",,,648,,"18,532","24,842","25,552","96,380","25,245","1,022",,,,,
,Joliet,"107,772",,,7,,183,405,851,"3,025",290,70,,,,,
,Naperville,"130,232",,,1,,13,62,334,"1,921",93,15,,,,,
,Peoria,"114,585",,,9,,380,437,"1,841","5,590",860,85,,,,,
,Rockford,"152,307",,,20,,518,631,"3,234","8,015","1,197",37,,,,,
,Springfield,"113,081",,,5,,342,846,"1,736","6,095",349,60,,,,,
INDIANA,Auburn,"12,230",609,610,0,5,5,12,61,509,17,1,,,,,
,Bedford,"13,946",540,541,2,3,3,10,69,419,34,1,,,,,
,Beech Grove,"15,072",640,643,1,4,9,12,124,385,105,3,,,,,
,Bloomington,"70,186","2,744","2,754",2,35,32,40,437,"2,053",145,10,,,,,
,Brownsburg,"14,707",251,252,0,1,1,12,48,179,10,1,,,,,
,Carmel,"38,221",718,735,0,6,10,5,81,568,48,17,,,,,
,Chesterton,"10,624",311,312,0,0,4,8,37,237,25,1,,,,,
,Clarksville,"21,677","2,121","2,123",0,4,32,16,173,"1,713",183,2,,,,,
,Columbus,"39,564","2,251","2,263",1,6,13,58,204,"1,891",78,12,,,,,
,Connersville,"15,610","1,026","1,028",0,1,3,13,128,852,29,2,,,,,
,Crawfordsville,"15,440",771,772,1,2,4,10,142,593,19,1,,,,,
,Crown Point,"20,062",349,354,0,1,2,24,40,253,29,5,,,,,
,Dyer,"14,075",316,316,0,2,2,9,38,238,27,0,,,,,
,East Chicago,"32,833","2,489",,11,11,107,513,380,"1,058",409,,,,,,
,Elkhart,"52,545","4,288","4,311",7,28,154,25,877,"2,943",254,23,,,,,
,Evansville,"123,153","6,154","6,219",2,53,134,473,"1,112","4,067",313,65,,,,,
,Fishers,"38,324",682,682,0,1,10,54,79,509,29,0,,,,,
,Fort Wayne,"208,386","12,152","12,269",24,113,454,255,"2,030","8,268","1,008",117,,,,,
,Frankfort,"16,878",824,826,0,11,2,28,155,591,37,2,,,,,
,Franklin,"19,714","1,030","1,032",0,9,2,3,131,839,46,2,,,,,
,Gary,"104,074","5,812",,60,58,420,219,"1,543","2,271","1,241",,,,,,
,Goshen,"29,763","1,430","1,432",0,2,4,179,136,"1,063",46,2,,,,,
,Greenfield,"14,789",382,384,0,4,3,16,49,287,23,2,,,,,
,Greenwood,"36,503","2,012","2,017",0,6,25,174,207,"1,487",113,5,,,,,
,Griffith,"17,558",681,693,0,3,8,25,74,491,80,12,,,,,
,Hammond,"84,121","5,394","5,460",12,12,273,321,852,"3,234",690,66,,,,,
,Highland,"23,850","1,070","1,073",1,2,26,18,111,809,103,3,,,,,
,Hobart,"25,691","1,399","1,405",0,7,28,81,107,"1,045",131,6,,,,,
,Huntington,"17,676",522,524,0,9,3,12,55,429,14,2,,,,,
,Indianapolis,"804,034","48,503","48,892",112,441,"2,937","4,028","9,662","24,821","6,502",389,,,,,
,Jasper,"12,256",131,131,0,0,1,5,12,103,10,0,,,,,
,Jeffersonville,"27,715","1,479","1,485",3,8,36,32,350,906,144,6,,,,,
,Kokomo,"46,709","3,146","3,153",3,18,40,214,559,"2,171",141,7,,,,,
,Lafayette,"57,126","3,346","3,367",5,44,42,137,624,"2,369",125,21,,,,,
,La Porte,"21,900","1,312","1,312",0,15,11,49,146,"1,030",61,0,,,,,
,Lawrence,"39,418","1,101","1,109",0,13,44,107,211,568,158,8,,,,,
,Logansport,"19,939",801,801,0,4,3,9,147,575,63,0,,,,,
,Madison,"12,159",543,543,1,3,0,16,163,331,29,0,,,,,
,Marion,"31,725","2,166","2,175",1,20,64,189,359,"1,417",116,9,,,,,
,Martinsville,"11,849",742,743,0,1,3,24,66,608,40,1,,,,,
,Merrillville,"30,954","1,077","1,080",2,2,25,5,77,795,171,3,,,,,
,Michigan City,"33,325","2,386","2,423",3,21,52,53,351,"1,669",237,37,,,,,
,Mishawaka,"47,159","4,119","4,142",0,18,48,83,525,"3,217",228,23,,,,,
,Muncie,"68,301","3,214","3,226",2,49,75,158,509,"2,232",189,12,,,,,
,Munster,"21,789",575,575,0,2,14,26,40,440,53,0,,,,,
,New Albany,"38,089","3,109","3,144",3,8,79,136,614,"2,083",186,35,,,,,
,New Castle,"18,010","1,857","1,862",1,6,9,5,372,"1,373",91,5,,,,,
,New Haven,"12,566",409,410,0,2,16,17,71,265,38,1,,,,,
,Noblesville,"28,960",671,679,0,11,5,25,123,481,26,8,,,,,
,Plainfield,"18,634",881,883,0,4,7,14,131,686,39,2,,,,,
,Portage,"33,929","1,559","1,563",0,8,9,69,236,"1,137",100,4,,,,,
,Richmond,"39,630","2,220","2,303",6,31,56,103,426,"1,455",143,83,,,,,
,Schererville,"25,172",650,650,0,2,8,13,46,523,58,0,,,,,
,Seymour,"18,335","1,224","1,229",0,9,4,79,110,953,69,5,,,,,
,South Bend,"109,182","8,203","8,272",20,93,354,353,"1,826","4,983",574,69,,,,,
,Speedway,"13,047",569,571,3,7,31,9,71,349,99,2,,,,,
,Valparaiso,"27,783",881,883,2,5,5,67,88,680,34,2,,,,,
,Vincennes,"18,942","1,242","1,245",0,6,12,8,245,906,65,3,,,,,
,Wabash,"11,894",206,206,0,0,0,7,34,154,11,0,,,,,
,Warsaw,"12,575",338,338,0,3,2,14,59,249,11,0,,,,,
,West Lafayette,"29,150",610,612,0,7,3,13,94,470,23,2,,,,,
IOWA,Altoona,"10,382",482,486,0,0,4,8,54,399,17,4,,,,,
,Ames,"50,912","2,075","2,084",0,35,13,86,244,"1,624",73,9,,,,,
,Ankeny,"27,213",653,656,0,2,5,14,95,512,25,3,,,,,
,Bettendorf,"31,386",968,980,0,10,7,98,104,708,41,12,,,,,
,Boone,"12,849",270,278,0,0,0,9,30,225,6,8,,,,,
,Burlington,"26,935","1,308","1,316",0,13,18,121,248,850,58,8,,,,,
,Carroll,"10,142",232,234,0,2,0,3,28,186,13,2,,,,,
,Cedar Falls,"36,274","1,149","1,157",0,11,7,93,129,860,49,8,,,,,
,Cedar Rapids,"121,189","7,233","7,248",2,57,104,267,"1,111","5,387",305,15,,,,,
,Clive,"12,901",449,453,0,4,4,28,57,328,28,4,,,,,
,Coralville,"15,177",753,756,0,10,9,14,79,621,20,3,,,,,
,Council Bluffs,"58,475","6,865","6,904",3,68,78,372,941,"4,641",762,39,,,,,
,Davenport,"98,710","9,558","9,607",7,63,244,"1,223","1,697","5,908",416,49,,,,,
,Des Moines,"199,390","13,776","13,848",9,113,290,364,"1,676","10,313","1,011",72,,,,,
,Dubuque,"57,891","2,095","2,119",1,16,8,135,402,"1,407",126,24,,,,,
,Fort Dodge,"25,225","2,005","2,023",0,15,29,163,426,"1,254",118,18,,,,,
,Fort Madison,"10,754",462,469,0,1,2,13,68,362,16,7,,,,,
,Indianola,"13,044",353,353,0,1,1,15,30,295,11,0,,,,,
,Iowa City,"62,442","2,194","2,201",0,39,44,261,312,"1,465",73,7,,,,,
,Keokuk,"11,468",703,707,0,7,3,152,82,425,34,4,,,,,
,Marion,"26,388",361,368,0,0,3,15,86,248,9,7,,,,,
,Marshalltown,"26,102","1,625","1,640",1,7,8,203,356,993,57,15,,,,,
,Mason City,"29,276","1,688","1,700",0,3,9,20,308,"1,291",57,12,,,,,
,Muscatine,"22,778","1,071","1,077",1,33,3,130,317,540,47,6,,,,,
,Newton,"15,635",776,776,0,0,3,17,231,502,23,0,,,,,
,Oskaloosa,"10,977",408,411,0,4,3,11,83,289,18,3,,,,,
,Ottumwa,"25,087","1,373","1,380",0,5,11,161,262,868,66,7,,,,,
,Sioux City,"85,316","5,933","5,965",3,45,72,434,"1,235","3,770",374,32,,,,,
,Spencer,"11,358",357,359,0,0,0,2,55,288,12,2,,,,,
,Storm Lake,"10,112",420,422,0,5,3,24,59,307,22,2,,,,,
,Urbandale,"29,176","1,049","1,050",0,4,8,55,122,818,42,1,,,,,
,Waterloo,"68,993","4,245","4,276",1,37,91,197,"1,064","2,604",251,31,,,,,
,West Des Moines,"46,568","1,810","1,816",1,4,15,28,217,"1,469",76,6,,,,,
KANSAS,Arkansas City,"12,085",660,664,0,8,11,48,104,462,27,4,,,,,
,Atchison,"10,336",427,428,0,3,3,27,57,313,24,1,,,,,
,Coffeyville,"11,133",759,767,1,12,11,62,165,485,23,8,,,,,
,Derby,"17,989",539,548,0,3,5,26,96,385,24,9,,,,,
,Dodge City,"25,433","1,552","1,561",3,17,23,79,267,"1,087",76,9,,,,,
,El Dorado,"12,180",560,561,1,7,1,11,100,420,20,1,,,,,
,Emporia,"27,033","1,609","1,620",2,21,10,66,249,"1,214",47,11,,,,,
,Garden City,"28,742","2,018","2,039",3,24,24,132,341,"1,408",86,21,,,,,
,Junction City,"19,079","1,571","1,580",0,18,43,186,236,"1,032",56,9,,,,,
,Lawrence,"80,916","3,939","3,951",2,32,43,244,668,"2,775",175,12,,,,,
,Leavenworth,"35,782","1,489","1,518",1,22,41,147,204,994,80,29,,,,,
,Leawood,"27,939",566,572,1,2,4,47,112,372,28,6,,,,,
,Liberal,"19,867","1,272","1,282",0,13,8,55,208,922,66,10,,,,,
,McPherson,"13,910",290,292,0,4,3,33,44,195,11,2,,,,,
,Merriam,"11,120",953,961,0,5,15,21,81,727,104,8,,,,,
,Newton,"17,366",662,669,1,9,5,40,106,484,17,7,,,,,
,Olathe,"93,912","3,240","3,267",4,46,28,240,260,"2,414",248,27,,,,,
,Ottawa,"12,043",516,517,0,5,2,34,86,364,25,1,,,,,
,Overland Park,"150,603","5,186","5,213",2,26,46,290,559,"3,712",551,27,,,,,
,Parsons,"11,632",561,566,0,2,10,57,131,342,19,5,,,,,
,Pittsburg,"19,439","2,088","2,107",1,19,15,107,471,"1,402",73,19,,,,,
,Prairie Village,"22,298",434,442,0,2,14,10,102,275,31,8,,,,,
,Salina,"46,146","2,955","2,987",0,18,20,113,296,"2,402",106,32,,,,,
,Topeka,"123,627","11,294",,8,73,409,499,"1,767","7,863",675,,,,,,
,Wichita,"347,801","24,104",,20,208,796,"1,344","4,459","15,523","1,754",,,,,,
KENTUCKY,Bowling Green,"49,920","3,498","3,501",1,40,81,238,675,"2,262",201,3,,,,,
,Florence,"23,849","1,556","1,559",0,5,24,59,180,"1,185",103,3,,,,,
,Hopkinsville,"30,469","2,008","2,027",3,25,58,33,515,"1,300",74,19,,,,,
,Lexington,"263,807","12,521","12,552",15,117,626,671,"2,439","8,004",649,31,,,,,
,Louisville,"259,472","15,439","15,655",35,49,995,958,"3,519","7,710","2,173",216,,,,,
,Madisonville,"19,551",932,936,0,6,22,42,187,642,33,4,,,,,
,Murray,"15,139",592,594,0,1,7,10,145,399,30,2,,,,,
,Owensboro,"54,751","2,582","2,591",4,17,43,77,435,"1,913",93,9,,,,,
,Paducah,"26,640","1,948","1,953",3,18,51,98,318,"1,312",148,5,,,,,
,Radcliff,"22,239",704,707,0,15,13,50,140,473,13,3,,,,,
,Richmond,"27,496","1,649","1,655",0,12,22,105,264,"1,154",92,6,,,,,
LOUISIANA,Alexandria,"46,483","5,554","5,554",11,17,199,732,"1,117","3,285",193,0,,,,,
,Baker,"13,835",729,733,1,5,11,31,116,536,29,4,,,,,
,Baton Rouge,"228,515","18,949","19,142",59,133,"1,107","1,371","4,070","10,763","1,446",193,,,,,
,Bogalusa,"13,406","1,152","1,160",1,7,36,110,308,629,61,8,,,,,
,Bossier City,"56,634","4,187","4,210",7,32,95,391,762,"2,572",328,23,,,,,
,Crowley,"14,268",885,885,0,1,7,50,272,535,20,0,,,,,
,Eunice,"11,535",960,963,0,1,10,153,185,578,33,3,,,,,
,Gretna,"17,476",995,"1,001",0,8,62,86,131,567,141,6,,,,,
,Houma,"32,492","2,125","2,131",0,28,70,288,335,"1,304",100,6,,,,,
,Jennings,"11,019",743,746,0,1,17,92,199,419,15,3,,,,,
,Kenner,"70,733","3,357","3,369",3,12,88,210,435,"2,309",300,12,,,,,
,Lafayette,"110,594","8,431","8,463",3,85,171,784,"1,391","5,503",494,32,,,,,
,Lake Charles,"71,976","4,881","4,895",6,42,198,449,"1,889","1,982",315,14,,,,,
,Mandeville,"10,521",493,496,0,1,15,26,67,365,19,3,,,,,
,Minden,"13,067",356,357,1,1,6,30,73,228,17,1,,,,,
,Morgan City,"12,742",737,737,0,4,22,73,135,464,39,0,,,,,
,Natchitoches,"17,920","1,291","1,294",1,9,28,151,303,760,39,3,,,,,
,New Iberia,"32,723","2,178","2,189",0,6,47,223,308,"1,488",106,11,,,,,
,New Orleans,"486,157","31,206",,258,162,"1,994","2,142","4,759","14,325","7,566",,,,,,
,Pineville,"13,871",595,595,2,8,7,10,244,301,23,0,,,,,
,Ruston,"20,608","1,209","1,209",1,6,22,103,266,772,39,0,,,,,
,Shreveport,"200,757","16,389","16,535",40,119,667,"1,218","3,350","9,346","1,649",146,,,,,
,Slidell,"25,774","2,398","2,398",3,16,41,146,259,"1,773",160,0,,,,,
,Thibodaux,"14,475",572,575,1,6,21,57,119,359,9,3,,,,,
,West Monroe,"13,290","1,359","1,366",1,10,21,80,217,976,54,7,,,,,
,Westwego,"10,796",315,319,0,2,15,32,45,196,25,4,,,,,
,Zachary,"11,310",542,544,0,1,6,49,80,382,24,2,,,,,
MAINE,Auburn,"23,559",849,859,0,9,8,8,121,677,26,10,,,,,
,Augusta,"18,844","1,233","1,245",0,29,16,17,202,944,25,12,,,,,
,Bangor,"31,956","1,630","1,646",0,4,18,17,158,"1,378",55,16,,,,,
,Biddeford,"21,263",771,779,1,16,14,24,123,573,20,8,,,,,
,Brunswick,"21,497",480,488,0,7,8,1,55,386,23,8,,,,,
,Falmouth,"10,468",168,169,0,1,1,2,26,136,2,1,,,,,
,Gorham,"14,358",237,239,0,11,2,8,48,149,19,2,,,,,
,Kennebunk,"10,636",199,202,0,6,0,4,48,136,5,3,,,,,
,Lewiston,"36,237","1,789","1,798",1,28,27,23,337,"1,322",51,9,,,,,
,Portland,"65,234","3,525","3,551",3,42,60,85,636,"2,547",152,26,,,,,
,Saco,"17,080",661,662,1,0,5,22,133,482,18,1,,,,,
,Sanford,"21,125",527,532,0,7,4,12,59,423,22,5,,,,,
,Scarborough,"17,230",357,357,0,0,1,9,86,254,7,0,,,,,
,South Portland,"23,682","1,025","1,033",0,7,11,12,116,853,26,8,,,,,
,Waterville,"15,844",619,621,0,4,9,17,77,493,19,2,,,,,
,Westbrook,"16,390",500,502,0,6,3,18,67,386,20,2,,,,,
,Windham,"15,133",440,446,0,0,3,3,84,342,8,6,,,,,
,York,"13,051",210,210,0,5,2,0,36,165,2,0,,,,,
MARYLAND,Aberdeen,"14,264",979,983,1,4,61,60,104,709,40,4,,,,,
,Annapolis,"36,932","2,330","2,357",4,15,149,253,414,"1,380",115,27,,,,,
,Baltimore,"671,028","55,820","56,164",253,178,"4,714","8,644","8,759","26,716","6,556",344,,,,,
,Bel Air,"10,388",613,625,0,0,14,53,52,461,33,12,,,,,
,Cambridge,"11,244",858,862,3,9,20,110,141,536,39,4,,,,,
,Cumberland,"22,175","1,262","1,276",0,15,15,103,245,837,47,14,,,,,
,Easton,"12,065",623,623,0,8,11,36,95,467,6,0,,,,,
,Elkton,"12,256",938,957,0,7,23,91,127,625,65,19,,,,,
,Frederick,"54,378","2,710","2,727",3,24,125,504,321,"1,604",129,17,,,,,
,Greenbelt,"22,111","1,727","1,727",1,14,106,71,160,957,418,0,,,,,
,Hagerstown,"37,807","1,764","1,790",2,10,90,138,345,"1,047",132,26,,,,,
,Havre de Grace,"11,677",685,689,1,2,28,74,88,467,25,4,,,,,
,Hyattsville,"15,182","1,017","1,017",2,2,54,33,140,568,218,0,,,,,
,Laurel,"20,570","1,429","1,429",0,8,60,66,159,852,284,0,,,,,
,Ocean Pines,"10,817",93,93,0,0,0,7,20,65,1,0,,,,,
,Takoma Park,"17,827","1,099","1,099",0,6,92,26,107,639,229,0,,,,,
,Westminster,"17,242",883,889,1,3,19,91,119,620,30,6,,,,,
MASSACHUSETTS,Abington,"14,786",,,0,5,4,,60,177,31,8,,,,,
,Acton,"20,583",277,282,0,1,1,1,61,197,16,5,,,,,
,Acushnet,"10,287",146,150,0,3,1,20,33,79,10,4,,,,,
,Agawam,"28,493",843,848,0,4,7,70,385,297,80,5,,,,,
,Amesbury,"16,654",308,311,0,10,3,56,49,172,18,3,,,,,
,Amherst,"35,306",663,,0,17,9,70,221,311,35,,,,,,
,Andover,"31,634",457,457,1,3,0,8,83,328,34,0,,,,,
,Arlington,"42,915",476,477,0,6,18,44,127,244,37,1,,,,,
,Ashland,"14,856",137,137,0,2,1,33,33,64,4,0,,,,,
,Athol,"11,439",304,309,0,4,5,79,98,104,14,5,,,,,
,Attleboro,"42,589",973,,0,7,17,99,197,547,106,,,,,,
,Barnstable,"48,412","1,643","1,675",3,28,36,268,446,743,119,32,,,,,
,Bedford,"12,751",42,42,0,0,0,1,2,36,3,0,,,,,
,Belchertown,"13,128",214,215,0,5,1,20,72,88,28,1,,,,,
,Bellingham,"15,504",363,365,0,3,5,12,126,206,11,2,,,,,
,Belmont,"24,494",197,197,0,0,2,19,51,111,14,0,,,,,
,Beverly,"40,356",853,855,0,8,15,90,139,554,47,2,,,,,
,Billerica,"39,465",524,530,0,2,3,16,46,410,47,6,,,,,
,Boston,"596,444","35,706",,60,369,"2,533","3,994","3,830","17,824","7,096",,,,,,
,Bourne,"18,954",,,1,5,9,,235,322,37,10,,,,,
,Braintree,"34,247","1,285","1,289",0,2,27,85,100,945,126,4,,,,,
,Brewster,"10,219",111,111,0,0,0,5,20,83,3,0,,,,,
,Brockton,"95,473","5,167",,9,44,251,767,681,"2,252","1,163",,,,,,
,Brookline,"57,815","1,269",,1,9,54,116,213,772,104,,,,,,
,Burlington,"23,160",921, ,0,0,10,11,53,789,58,,,,,,
,Cambridge,"102,611","4,306",,6,11,195,285,720,"2,664",425,,,,,,
,Canton,"21,032",229,229,0,1,4,5,33,170,16,0,,,,,
,Charlton,"11,402",,,0,2,0,,28,89,10,1,,,,,
,Chelmsford,"34,278",552,554,0,1,2,30,47,441,31,2,,,,,
,Chelsea,"35,515","1,867","1,880",4,39,134,488,281,481,440,13,,,,,
,Chicopee,"55,330","2,447","2,460",1,20,51,345,534,"1,139",357,13,,,,,
,Clinton,"13,601",95,96,0,0,4,14,13,58,6,1,,,,,
,Concord,"17,203",199,201,0,0,2,15,12,168,2,2,,,,,
,Danvers,"25,525","1,069","1,077",0,3,11,35,67,873,80,8, ,,,,
,Dartmouth,"31,046","1,066","1,072",1,10,11,86,210,677,71,6,,,,,
,Dedham,"23,754",429,429,0,0,7,13,30,334,45,0,,,,,
,Dennis,"16,171",628,629,1,1,4,93,164,345,20,1,,,,,
,Dracut,"28,916",419,420,1,2,4,15,101,227,69,1,,,,,
,East Bridgewater,"13,134",87,87,0,1,1,5,11,64,5,0,,,,,
,Easthampton,"16,192",216,219,0,5,1,37,71,86,16,3,,,,,
,East Longmeadow,"14,275",501,502,0,2,2,16,81,358,42,1,,,,,
,Easton,"22,576",253,253,0,0,6,13,52,166,16,0,,,,,
,Everett,"38,509","1,079","1,082",0,5,41,65,119,643,206,3,,,,,
,Fairhaven,"16,360",615,617,2,6,17,81,141,340,28,2,,,,,
,Fall River,"93,078","4,869",,3,48,233,642,738,"2,620",585,,,,,,
,Falmouth,"33,065","1,122","1,126",0,5,8,88,190,795,36,4,,,,,
,Fitchburg,"39,587","1,699",,3,40,67,183,361,915,130,,,,,,
,Framingham,"67,740","1,775", ,0,25,25,107,332,"1,060",226,,,,,,
,Franklin,"29,926",115,115,0,3,0,7,3,97,5,0,,,,,
,Gloucester,"30,648",738,741,0,6,7,59,142,496,28,3,,,,,
,Greenfield,"18,393",,,0,18,15,,225,350,40,7,,,,,
,Hanover,"13,327",226,226,0,1,6,3,38,167,11,0,,,,,
,Harwich,"12,540",295,297,0,0,0,29,61,194,11,2,,,,,
,Haverhill,"59,700","1,776",,2,20,43,213,611,638,249,,,,,,
,Holbrook,"10,918",236,,0,3,9,8,63,131,22,,,,,,
,Holden,"15,815",124,128,0,3,0,20,21,74,6,4,,,,,
,Holliston,"13,972",99,99,0,0,1,5,17,68,8,0,,,,,
